source_id,source_name_en,source_name_cn,source_url,source_type,status,records,first_year,latest_year,checked_at,license_note_en,license_note_cn,upstream_updated_at
worldbank_gdp_current_usd,World Bank GDP (current US$),世界银行国内生产总值（现价美元）,https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD?format=json&per_page=20000&date=1960:2026,official_public_api,verified_live_api,17490,1960.0,2025.0,2026-09-18T14:56:17Z,World Bank open data; verify the current terms before redistribution.,世界银行开放数据；再分发前仍应核对当前使用条款。,
KarlHeinrich-jpg__kaggriculture,KarlHeinrich-jpg/kaggriculture,KarlHeinrich-jpg/kaggriculture,https://github.com/KarlHeinrich-jpg/kaggriculture,public_github_repository,repository_snapshot_checked,367,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-15T05:00:06Z
KarlHeinrich-jpg__Digital-Economy-on-Regional-Green-Total-Factor-Productivity,KarlHeinrich-jpg/Digital-Economy-on-Regional-Green-Total-Factor-Productivity,KarlHeinrich-jpg/Digital-Economy-on-Regional-Green-Total-Factor-Productivity,https://github.com/KarlHeinrich-jpg/Digital-Economy-on-Regional-Green-Total-Factor-Productivity,public_github_repository,repository_snapshot_checked,125,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-10T08:50:47Z
KarlHeinrich-jpg__Business-Plan-and-PPT,KarlHeinrich-jpg/Business-Plan-and-PPT,KarlHeinrich-jpg/Business-Plan-and-PPT,https://github.com/KarlHeinrich-jpg/Business-Plan-and-PPT,public_github_repository,repository_snapshot_checked,16,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-09T03:13:51Z
KarlHeinrich-jpg__document-bridge,KarlHeinrich-jpg/document-bridge,KarlHeinrich-jpg/document-bridge,https://github.com/KarlHeinrich-jpg/document-bridge,public_github_repository,repository_snapshot_checked,30,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-09T00:03:55Z
KarlHeinrich-jpg__financial-stochastic-processes,KarlHeinrich-jpg/financial-stochastic-processes,KarlHeinrich-jpg/financial-stochastic-processes,https://github.com/KarlHeinrich-jpg/financial-stochastic-processes,public_github_repository,repository_snapshot_checked,56,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-08T07:50:10Z
KarlHeinrich-jpg__python-tutorial,KarlHeinrich-jpg/python-tutorial,KarlHeinrich-jpg/python-tutorial,https://github.com/KarlHeinrich-jpg/python-tutorial,public_github_repository,repository_snapshot_checked,17,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-06T01:43:10Z
KarlHeinrich-jpg__the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,KarlHeinrich-jpg/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,KarlHeinrich-jpg/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,https://github.com/KarlHeinrich-jpg/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,public_github_repository,repository_snapshot_checked,120,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-04T04:01:49Z
KarlHeinrich-jpg__course-materials,KarlHeinrich-jpg/course-materials,KarlHeinrich-jpg/course-materials,https://github.com/KarlHeinrich-jpg/course-materials,public_github_repository,repository_snapshot_checked,143,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-01T11:52:33Z
KarlHeinrich-jpg__yile-wang-research-collection,KarlHeinrich-jpg/yile-wang-research-collection,KarlHeinrich-jpg/yile-wang-research-collection,https://github.com/KarlHeinrich-jpg/yile-wang-research-collection,public_github_repository,repository_snapshot_checked,118,,,2026-09-18T14:56:17Z,Repository-level license status must be checked before reuse or redistribution.,复用或再分发前必须核对该仓库的许可证状态。,2026-09-01T11:32:17Z
